Document 1,Document 2,Similarity
249.txt,332.txt,0.836
249.txt,336.txt,0.844
249.txt,351.txt,0.805
249.txt,352.txt,0.836
249.txt,354.txt,0.789
249.txt,361.txt,0.812
249.txt,375.txt,0.836
249.txt,385.txt,0.859
249.txt,413.txt,0.781
249.txt,416.txt,0.82
249.txt,419.txt,0.844
249.txt,475.txt,0.812
249.txt,477.txt,0.828
264.txt,268.txt,0.633
264.txt,274.txt,0.648
264.txt,287.txt,0.609
264.txt,290.txt,0.641
264.txt,293.txt,0.633
264.txt,305.txt,0.594
264.txt,311.txt,0.641
264.txt,315.txt,0.641
264.txt,332.txt,0.633
264.txt,336.txt,0.633
264.txt,351.txt,0.586
264.txt,352.txt,0.664
264.txt,354.txt,0.586
264.txt,361.txt,0.633
264.txt,375.txt,0.641
264.txt,385.txt,0.656
264.txt,413.txt,0.594
264.txt,416.txt,0.633
264.txt,419.txt,0.648
264.txt,475.txt,0.656
264.txt,477.txt,0.617
268.txt,274.txt,0.844
268.txt,287.txt,0.805
268.txt,290.txt,0.82
268.txt,293.txt,0.828
268.txt,305.txt,0.812
268.txt,311.txt,0.82
268.txt,315.txt,0.812
268.txt,332.txt,0.844
268.txt,336.txt,0.828
268.txt,351.txt,0.82
268.txt,352.txt,0.812
268.txt,354.txt,0.805
268.txt,361.txt,0.812
268.txt,375.txt,0.812
268.txt,385.txt,0.844
268.txt,413.txt,0.781
268.txt,416.txt,0.812
268.txt,419.txt,0.867
268.txt,475.txt,0.812
268.txt,477.txt,0.812
274.txt,287.txt,0.82
274.txt,290.txt,0.812
274.txt,293.txt,0.836
274.txt,305.txt,0.812
274.txt,311.txt,0.836
274.txt,315.txt,0.812
274.txt,332.txt,0.852
274.txt,336.txt,0.836
274.txt,351.txt,0.789
274.txt,352.txt,0.828
274.txt,354.txt,0.789
274.txt,361.txt,0.805
274.txt,375.txt,0.828
274.txt,385.txt,0.844
274.txt,413.txt,0.789
274.txt,416.txt,0.828
274.txt,419.txt,0.859
274.txt,475.txt,0.82
274.txt,477.txt,0.812
287.txt,290.txt,0.797
287.txt,293.txt,0.812
287.txt,305.txt,0.781
287.txt,311.txt,0.812
287.txt,315.txt,0.781
287.txt,332.txt,0.82
287.txt,336.txt,0.812
287.txt,351.txt,0.781
287.txt,352.txt,0.797
287.txt,354.txt,0.781
287.txt,361.txt,0.781
287.txt,375.txt,0.797
287.txt,385.txt,0.836
287.txt,413.txt,0.766
287.txt,416.txt,0.789
287.txt,419.txt,0.82
287.txt,475.txt,0.789
287.txt,477.txt,0.805
290.txt,293.txt,0.812
290.txt,305.txt,0.773
290.txt,311.txt,0.82
290.txt,315.txt,0.797
290.txt,332.txt,0.828
290.txt,336.txt,0.812
290.txt,351.txt,0.797
290.txt,352.txt,0.805
290.txt,354.txt,0.766
290.txt,361.txt,0.797
290.txt,375.txt,0.789
290.txt,385.txt,0.836
290.txt,413.txt,0.781
290.txt,416.txt,0.805
290.txt,419.txt,0.828
290.txt,475.txt,0.812
290.txt,477.txt,0.805
293.txt,305.txt,0.797
293.txt,311.txt,0.828
293.txt,315.txt,0.789
293.txt,332.txt,0.828
293.txt,336.txt,0.836
293.txt,351.txt,0.797
293.txt,352.txt,0.812
293.txt,354.txt,0.805
293.txt,361.txt,0.805
293.txt,375.txt,0.82
293.txt,385.txt,0.844
293.txt,413.txt,0.773
293.txt,416.txt,0.805
293.txt,419.txt,0.852
293.txt,475.txt,0.812
293.txt,477.txt,0.82
298.txt,378.txt,0.633
305.txt,311.txt,0.797
305.txt,315.txt,0.781
305.txt,332.txt,0.828
305.txt,336.txt,0.812
305.txt,351.txt,0.781
305.txt,352.txt,0.789
305.txt,354.txt,0.789
305.txt,361.txt,0.797
305.txt,375.txt,0.797
305.txt,385.txt,0.828
305.txt,413.txt,0.758
305.txt,416.txt,0.797
305.txt,419.txt,0.828
305.txt,475.txt,0.781
305.txt,477.txt,0.789
310.txt,496.txt,0.969
311.txt,315.txt,0.805
311.txt,332.txt,0.844
311.txt,336.txt,0.82
311.txt,351.txt,0.805
311.txt,352.txt,0.812
311.txt,354.txt,0.797
311.txt,361.txt,0.812
311.txt,375.txt,0.82
311.txt,385.txt,0.844
311.txt,413.txt,0.766
311.txt,416.txt,0.797
311.txt,419.txt,0.852
311.txt,475.txt,0.812
311.txt,477.txt,0.836
315.txt,332.txt,0.836
315.txt,336.txt,0.805
315.txt,351.txt,0.773
315.txt,352.txt,0.812
315.txt,354.txt,0.758
315.txt,361.txt,0.789
315.txt,375.txt,0.797
315.txt,385.txt,0.828
315.txt,413.txt,0.773
315.txt,416.txt,0.789
315.txt,419.txt,0.828
315.txt,475.txt,0.812
315.txt,477.txt,0.789
332.txt,336.txt,0.844
332.txt,351.txt,0.82
332.txt,352.txt,0.828
332.txt,354.txt,0.805
332.txt,361.txt,0.82
332.txt,375.txt,0.828
332.txt,385.txt,0.875
332.txt,413.txt,0.805
332.txt,416.txt,0.828
332.txt,419.txt,0.875
332.txt,475.txt,0.828
332.txt,477.txt,0.82
336.txt,351.txt,0.797
336.txt,352.txt,0.828
336.txt,354.txt,0.805
336.txt,361.txt,0.812
336.txt,375.txt,0.82
336.txt,385.txt,0.867
336.txt,413.txt,0.789
336.txt,416.txt,0.828
336.txt,419.txt,0.844
336.txt,475.txt,0.82
336.txt,477.txt,0.828
351.txt,352.txt,0.797
351.txt,354.txt,0.789
351.txt,361.txt,0.789
351.txt,375.txt,0.789
351.txt,385.txt,0.82
351.txt,413.txt,0.758
351.txt,416.txt,0.789
351.txt,419.txt,0.828
351.txt,475.txt,0.781
351.txt,477.txt,0.773
352.txt,354.txt,0.781
352.txt,361.txt,0.789
352.txt,375.txt,0.812
352.txt,385.txt,0.836
352.txt,413.txt,0.781
