doc_id,image_url
49,https://i1-dulich.vnecdn.net/2022/05/11/cauthehuc-1652240529-1630-1652253987.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=StWJepYhBMKedVXIDh0Kyw
50,https://i1-dulich.vnecdn.net/2022/05/08/top1-1651976954-1651976970-9983-1651976986.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=8vkgcUnWhqIKV51RYrJEsg
51,https://i1-dulich.vnecdn.net/2022/04/01/hoianvnexpress-1648804029-1648-5294-6994-1648804826.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=mKJvGKo8GmLz4tYaUC4L5g
52,https://i1-dulich.vnecdn.net/2022/03/31/mapilenghagiangvnexpress-16487-2310-5584-1648718524.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=kOOQrA2oCmdoblPaNEpo1A
53,https://s1.vnecdn.net/vnexpress/restruct/i/v9756/logo_default.jpg
54,https://s1.vnecdn.net/vnexpress/restruct/i/v9756/logo_default.jpg
55,https://i1-dulich.vnecdn.net/2024/07/15/rg-1721030324-1721030336-3295-1721031891.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=qRWMXm7w_AklWM0iLe5vqA
56,https://i1-dulich.vnecdn.net/2024/06/24/vinhnt-1719214820-1719214833-9273-1719215309.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=Dg43TbOGC6Ce5wqNDLhlsg
57,https://i1-dulich.vnecdn.net/2024/03/05/nhathogo1-1709613832-170961384-8089-2963-1709614349.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=xjV7M-hWIoDBtEOTzZPw5Q
58,https://i1-dulich.vnecdn.net/2022/06/14/kyco8-1655201081-1655201094-7445-1655201199.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=6rUcClGjoONmFT-GdaOCGg
60,https://i1-dulich.vnecdn.net/2024/10/21/tanlap1-1729507813-1729507824-4408-1729507893.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=9l4Ma-kIzQ2tVdOy6kgSIw
61,https://i1-dulich.vnecdn.net/2024/03/18/lc1-1710756758-1710756769-3210-1710757370.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=67BoH9z6MttqCCFdmY7OTQ
62,https://i1-dulich.vnecdn.net/2024/02/20/YTy-1708398284-7508-1708403084.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=zOyZtHws5BTHOOLyj3L8ig
63,https://i1-dulich.vnecdn.net/2023/10/12/gangng-1697045157-1697045170-2040-1697045504.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=NDZZqeGRUEm5srg83j17kQ
64,https://i1-dulich.vnecdn.net/2023/07/18/langco3-1689666867-1689666876-4509-1689668267.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=iZak9uSOjdOj4DlodgDxsA
65,https://i1-dulich.vnecdn.net/2020/06/14/shutterstock1381983236-1592108-2097-2428-1592108932.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=ndG6IJz_47hO7qj2zDft3w
66,https://i1-dulich.vnecdn.net/2023/09/20/deomapileng-1695199492-1695199-4833-4021-1695199551.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=BltN4zMOv7ngBVcjN-JM4Q
67,https://i1-dulich.vnecdn.net/2023/06/23/md-1687513593-1687513600-1996-1687513753.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=b2jr1o6U0ppNGeHWtplLBw
68,https://i1-dulich.vnecdn.net/2022/04/12/dulichmaichau-1649760472-16497-5004-8198-1649760590.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=EjL-leeq6csBf9e5NZwJUg
69,https://i1-dulich.vnecdn.net/2022/04/04/minghnng-1649055206-1649055239-1114-1649057070.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=sz66OXd3YO9LjflHIVhypw
70,https://i1-dulich.vnecdn.net/2020/09/07/ruongbacthangmualuachinvnexpre-7022-6177-1599480992.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=Xy85ukHlNNmcYWe3oRHNCQ
71,https://i1-dulich.vnecdn.net/2023/02/06/mc-1675677664-1675677674-3681-1675677680.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=V6RAFeZlttyd0ivhQPyVVg
72,https://i1-dulich.vnecdn.net/2023/04/28/MuiNeVNExpress4914615421892629-6522-7261-1682677519.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=hyGEnpruwFNmcjw9X-YchQ
73,https://i1-dulich.vnecdn.net/2024/07/02/ndt1-1719907641-1719907691-8689-1719909910.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=oQgu-u7VvzRpNSJ9L02bFw
74,https://i1-dulich.vnecdn.net/2022/12/08/318181765-3389127781356569-680-2289-4193-1670496921.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=rpJaA013hhS_SWw1sM1QjA
