document,total_words,unique_words,top_words
259.txt,1365,506,"chè, mộc_châu, sơn_la, chào, du_lịch, du_khách, đồi, đảng, quốc_phòng, tỉnh"
26.txt,1396,656,"côn_đảo, biển, đảo, đi, du_khách, đồng, bãi, du_lịch, tàu, hòn"
262.txt,598,177,"địa_điểm, chi_phí, đ, thần_tiên, trải, nghiệm, văn_hóa, bản_địa, xứ_sở, thác"
264.txt,12,12,"oxalisadventure, com, verify, you, are, human, by, completing, the, action"
265.txt,507,342,"hang, trang, liên_kết, én, hang_động, việt_nam, chi, nội_dung, viết, wikipedia"
266.txt,1424,589,"hang_én, hang, hành_trình, thiên_nhiên, khám_phá, đẹp, trekking, suối, đi, tour"
267.txt,636,403,"động, thiên_đường, hang, phong_nha, du_lịch, cửa, km, đường, trang, liên_kết"
27.txt,1149,516,"đồng, cát_bà, du_khách, đảo, phà, giá, bến, cát, di_chuyển, vé"
270.txt,593,360,"cầu, vàng, world, đà_nẵng, kiến_trúc, s, m, việt_nam, thế_giới, a"
271.txt,1171,489,"cầu, đà_nẵng, cookie, to, nà, consent, used, and, vàng, is"
272.txt,469,202,"khám_phá, du_lịch, world, sun, nền_tảng, visit, of, vietnam, doanh_nghiệp, việt_nam"
275.txt,1501,647,"đà_lạt, hồ, tuyền_lâm, thành_phố, du_lịch, địa_chỉ, tỉnh, đi, phường, lâm_đồng"
276.txt,827,415,"biển, cửa, đẹp, đại, xe, hội_an, đi, taxi, bãi, mia"
278.txt,275,112,"cửa, biển, đại, du_lịch, mua, địa_điểm, hội_an, đại_hội_an, xanh, đi"
28.txt,1682,801,"cần_thơ, du_khách, đồng, đi, sông, cá, chợ_nổi, bánh, du_lịch, miền"
280.txt,1767,525,"biển, vinwonders, đà_nẵng, mỹ_khê, phú_quốc, bãi, grand, safari, vinpearl, du_lịch"
281.txt,847,423,"biển, đà_nẵng, bãi, mỹ_khê, bãi_tắm, du_khách, món, đẹp, bờ, đi"
283.txt,440,240,"thống_kê, đảo, cù_lao_chàm, văn_bản, thủ_tục, cơ_sở, lưu_trú, du_lịch, du_khách, lịch_sử"
284.txt,1749,736,"hội_an, cù_lao_chàm, du_lịch, huế, khám_phá, đi, vé, nghiệm, quảng_nam, trải"
286.txt,1229,441,"sơn_trà, biển, du_lịch, bán_đảo, đà_nẵng, bãi, tour, khám_phá, du_khách, đẹp"
288.txt,2618,1110,"núi, chùa, kdt, đá, ngũ_hành_sơn, di_tích, đền, đà_nẵng, đình, đường"
289.txt,2023,845,"đà_nẵng, ngũ_hành_sơn, vnd, chùa, đi, khách_sạn, du_lịch, núi, traveloka, tham_quan"
29.txt,1489,590,"địa_đạo, củ_chi, du_khách, tham_quan, đường_hầm, khu_vực, hệ_thống, hầm, tp, món"
291.txt,1246,579,"kdt, chùa, di_tích, đá, đình, đền, gành, đá_đĩa, thành, quốc_gia"
292.txt,777,388,"gành, đá_đĩa, đá, phú_yên, du_khách, đi, đẹp, tham_quan, biển, ghềnh"
