id,title,url,url_id,source_file
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/V%E1%BB%8Bnh_H%E1%BA%A1_Long,132,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Th%C3%A1nh_%C4%91%E1%BB%8Ba_M%E1%BB%B9_S%C6%A1n,136,128.html
129,Phố cổ Hội An – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/V%C6%B0%E1%BB%9Dn_qu%E1%BB%91c_gia_Phong_Nha_%E2%80%93_K%E1%BA%BB_B%C3%A0ng,140,129.html
129,Phố cổ Hội An – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/B%C3%A3i_bi%E1%BB%83n_S%E1%BA%A7m_S%C6%A1n,177,129.html
129,Phố cổ Hội An – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/C%C3%B4n_%C4%90%E1%BA%A3o,241,129.html
129,Phố cổ Hội An – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Ng%C5%A9_H%C3%A0nh_S%C6%A1n,288,129.html
129,Phố cổ Hội An – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/L%C3%BD_S%C6%A1n,147,129.html
129,Phố cổ Hội An – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Khu_du_l%E1%BB%8Bch_Tam_Ch%C3%BAc,497,129.html
129,Phố cổ Hội An – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/C%C3%B4_T%C3%B4,153,129.html
129,Phố cổ Hội An – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Fansipan,138,129.html
129,Phố cổ Hội An – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Khu_di_t%C3%ADch_l%E1%BB%8Bch_s%E1%BB%AD_v%C3%A0_danh_th%E1%BA%AFng_Y%C3%AAn_T%E1%BB%AD,313,129.html
129,Phố cổ Hội An – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/N%C3%BAi_B%C3%A0_%C4%90en,254,129.html
129,Phố cổ Hội An – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/H%E1%BB%93_N%C3%BAi_C%E1%BB%91c,166,129.html
